Post ID,Schedule Priority,Days Applied,From Time,To Time,Rate Type,Rate
122-24110,1,,,,Base Rate,2
123-02910,1,,,,Base Rate,2
123-02930,1,,,,Base Rate,2
123-02950,1,,,,Base Rate,2
123-02970,1,,,,Base Rate,2
123-03010,1,,,,Base Rate,2
123-03030,1,,,,Base Rate,2
123-03050,1,,,,Base Rate,2
123-03920,1,,,,Base Rate,2
123-03960,1,,,,Base Rate,2
123-03980,1,,,,Base Rate,2
123-04010,1,,,,Base Rate,2
123-04020,1,,,,Base Rate,2
123-04030,1,,,,Base Rate,2
123-04040,1,,,,Base Rate,2
123-12870,1,,,,Base Rate,2
123-12890,1,,,,Base Rate,2
123-12910,1,,,,Base Rate,2
123-12930,1,,,,Base Rate,2
123-12950,1,,,,Base Rate,2
123-13020,1,,,,Base Rate,2
123-13040,1,,,,Base Rate,2
123-13060,1,,,,Base Rate,2
123-13080,1,,,,Base Rate,2
123-13090,1,,,,Base Rate,2
123-13120,1,,,,Base Rate,2
124-03950,1,,,,Base Rate,2
124-03960,1,,,,Base Rate,2
124-03970,1,,,,Base Rate,2
124-03980,1,,,,Base Rate,2
124-04010,1,,,,Base Rate,2
124-04020,1,,,,Base Rate,2
124-04030,1,,,,Base Rate,2
124-04040,1,,,,Base Rate,2
124-04060,1,,,,Base Rate,2
124-12830,1,,,,Base Rate,2
124-12850,1,,,,Base Rate,2
124-12870,1,,,,Base Rate,2
124-12890,1,,,,Base Rate,2
124-12910,1,,,,Base Rate,2
124-12920,1,,,,Base Rate,2
124-12930,1,,,,Base Rate,2
124-12940,1,,,,Base Rate,2
124-12950,1,,,,Base Rate,2
124-12960,1,,,,Base Rate,2
124-13010,1,,,,Base Rate,2
124-13020,1,,,,Base Rate,2
124-13030,1,,,,Base Rate,2
124-13040,1,,,,Base Rate,2
124-13050,1,,,,Base Rate,2
124-13070,1,,,,Base Rate,2
124-13080,1,,,,Base Rate,2
124-13090,1,,,,Base Rate,2
124-13110,1,,,,Base Rate,2
124-13130,1,,,,Base Rate,2
124-25020,1,,,,Base Rate,2
124-25040,1,,,,Base Rate,2
124-25060,1,,,,Base Rate,2
124-25080,1,,,,Base Rate,2
125-04010,1,,,,Base Rate,2
125-04030,1,,,,Base Rate,2
125-04050,1,,,,Base Rate,2
125-04070,1,,,,Base Rate,2
125-04940,1,,,,Base Rate,2
125-04960,1,,,,Base Rate,2
125-04980,1,,,,Base Rate,2
125-05010,1,,,,Base Rate,2
125-05030,1,,,,Base Rate,2
125-05050,1,,,,Base Rate,2
125-05070,1,,,,Base Rate,2
125-05090,1,,,,Base Rate,2
125-12910,1,,,,Base Rate,2
125-12930,1,,,,Base Rate,2
125-12940,1,,,,Base Rate,2
125-12950,1,,,,Base Rate,2
125-12960,1,,,,Base Rate,2
125-12980,1,,,,Base Rate,2
125-13010,1,,,,Base Rate,2
125-13020,1,,,,Base Rate,2
125-13030,1,,,,Base Rate,2
125-13040,1,,,,Base Rate,2
125-13050,1,,,,Base Rate,2
125-13060,1,,,,Base Rate,2
125-13080,1,,,,Base Rate,2
125-13120,1,,,,Base Rate,2
126-12930,1,,,,Base Rate,2
126-12950,1,,,,Base Rate,2
126-12970,1,,,,Base Rate,2
126-13010,1,,,,Base Rate,2
126-13020,1,,,,Base Rate,2
126-13030,1,,,,Base Rate,2
126-13040,1,,,,Base Rate,2
126-13060,1,,,,Base Rate,2
126-13070,1,,,,Base Rate,2
127-04630,1,,,,Base Rate,2
127-04640,1,,,,Base Rate,2
127-04650,1,,,,Base Rate,2
127-04660,1,,,,Base Rate,2
127-04670,1,,,,Base Rate,2
127-04680,1,,,,Base Rate,2
127-05040,1,,,,Base Rate,2
127-05050,1,,,,Base Rate,2
127-05060,1,,,,Base Rate,2
127-12940,1,,,,Base Rate,2
127-12980,1,,,,Base Rate,2
127-13040,1,,,,Base Rate,2
128-04650,1,,,,Base Rate,2
128-04660,1,,,,Base Rate,2
128-04670,1,,,,Base Rate,2
128-04680,1,,,,Base Rate,2
128-05020,1,,,,Base Rate,2
128-05040,1,,,,Base Rate,2
128-05060,1,,,,Base Rate,2
128-05080,1,,,,Base Rate,2
128-05100,1,,,,Base Rate,2
131-17800,1,,,,Base Rate,2
131-17820,1,,,,Base Rate,2
131-17840,1,,,,Base Rate,2
131-17860,1,,,,Base Rate,2
131-17880,1,,,,Base Rate,2
131-17900,1,,,,Base Rate,2
131-17920,1,,,,Base Rate,2
131-17940,1,,,,Base Rate,2
131-17950,1,,,,Base Rate,2
131-17960,1,,,,Base Rate,2
